"region","subregion","count"
"georgia","haralson",19741
"georgia","harris",45253
"georgia","hart",19804
"georgia","heard",5749
"georgia","henry",201387
"georgia","houston",110876
"georgia","irwin",3948
"georgia","jackson",65495
"georgia","jasper",6825
"georgia","jeff davis",4983
"georgia","jefferson",10180
"georgia","jenkins",1025
"georgia","johnson",1528
"georgia","jones",11352
"georgia","lamar",11919
"georgia","lanier",3348
"georgia","laurens",20909
"georgia","lee",14449
"georgia","liberty",61579
"georgia","lincoln",3327
"georgia","long",3700
"georgia","lowndes",105929
"georgia","lumpkin",16971
"georgia","macon",2800
"georgia","madison",6382
"georgia","marion",2439
"georgia","mcduffie",16569
"georgia","mcintosh",12394
"georgia","meriwether",13795
"georgia","miller",637
"georgia","mitchell",9988
"georgia","monroe",10903
"georgia","morgan",18629
"georgia","murray",15417
"georgia","muscogee",194437
"georgia","newton",60097
"georgia","oconee",24553
"georgia","oglethorpe",6506
"georgia","paulding",68516
"georgia","peach",23986
"georgia","pickens",15257
"georgia","pierce",6761
"georgia","pike",8816
"georgia","polk",15795
"georgia","pulaski",7249
"georgia","putnam",17384
"georgia","quitman",510
"georgia","rabun",19291
"georgia","randolph",7163
"georgia","richmond",396866
"georgia","rockdale",55037
"georgia","schley",1273
"georgia","screven",7800
"georgia","seminole",6135
"georgia","spalding",39444
"georgia","stephens",16949
"georgia","stewart",1027
"georgia","sumter",25583
"georgia","talbot",8562
"georgia","taliaferro",127
"georgia","tattnall",8539
"georgia","taylor",6633
"georgia","telfair",1020
"georgia","terrell",1529
"georgia","thomas",22472
"georgia","tift",38252
"georgia","toombs",19369
"georgia","towns",6949
"georgia","treutlen",2042
"georgia","troup",76962
"georgia","turner",8052
"georgia","twiggs",70520
"georgia","union",9585
"georgia","upson",16904
"georgia","walker",39855
"georgia","walton",67288
"georgia","ware",23031
"georgia","warren",1464
"georgia","washington",9577
"georgia","wayne",14833
"georgia","webster",766
"georgia","wheeler",4466
"georgia","white",25498
"georgia","whitfield",48663
"georgia","wilcox",2039
"georgia","wilkes",7540
"georgia","wilkinson",6000
"georgia","worth",8177
"idaho","ada",1035427
"idaho","adams",1916
"idaho","bannock",131733
"idaho","bear lake",1914
"idaho","benewah",8484
"idaho","bingham",11283
"idaho","blaine",30821
"idaho","boise",1901
"idaho","bonner",29725
"idaho","bonneville",204874
"idaho","boundary",7216
"idaho","butte",1019
"idaho","camas",764
"idaho","canyon",73564
"idaho","caribou",3914
"idaho","cassia",8941
"idaho","clark",765
"idaho","clearwater",5747
"idaho","custer",2423
"idaho","elmore",22347
"idaho","franklin",6634
"idaho","fremont",6197
"idaho","gem",4730
"idaho","gooding",1593
"idaho","idaho",13280
"idaho","jefferson",7147
"idaho","jerome",4962
"idaho","kootenai",102354
"idaho","latah",164671
"idaho","lemhi",4262
"idaho","lincoln",1657
"idaho","madison",78183
"idaho","minidoka",11117
"idaho","nez perce",35930
"idaho","oneida",2809
"idaho","owyhee",2335
"idaho","payette",20326
"idaho","power",5007
"idaho","shoshone",7071
"idaho","teton",5743
"idaho","twin falls",52909
"idaho","valley",16868
"idaho","washington",7886
"illinois","adams",50969
"illinois","alexander",636
"illinois","bond",14957
"illinois","boone",31074
"illinois","brown",1356
"illinois","bureau",13760
"illinois","calhoun",3948
"illinois","carroll",9600
"illinois","cass",9246
"illinois","champaign",560709
"illinois","christian",24019
"illinois","clark",14689
"illinois","clay",10901
"illinois","clinton",27229
"illinois","coles",123116
"illinois","cook",13984169
"illinois","crawford",19807
"illinois","cumberland",4599
"illinois","de kalb",130690
"illinois","de witt",9948
"illinois","douglas",18547
"illinois","du page",7360588
"illinois","edgar",15332
"illinois","edwards",4205
"illinois","effingham",19812
"illinois","fayette",9562
"illinois","ford",11245
"illinois","franklin",21810
"illinois","fulton",9235
"illinois","gallatin",10352
"illinois","greene",4967
"illinois","grundy",21114
"illinois","hamilton",2420
"illinois","hancock",11997
"illinois","hardin",1243
"illinois","henderson",3956
"illinois","henry",33145
"illinois","iroquois",23972
"illinois","jackson",135149
"illinois","jasper",3181
"illinois","jefferson",34834
"illinois","jersey",23587
"illinois","jo daviess",13963
"illinois","johnson",8085
"illinois","kane",800512
"illinois","kankakee",53779
"illinois","kendall",74475
"illinois","knox",41594
"illinois","la salle",58888
"illinois","lake",1510252
"illinois","lawrence",8570
"illinois","lee",33154
"illinois","livingston",13466
"illinois","logan",14352
"illinois","macon",120974
"illinois","macoupin",40051
"illinois","madison",464558
"illinois","marion",8050
"illinois","marshall",20810
"illinois","mason",9440
"illinois","massac",2803
"illinois","mcdonough",68292
"illinois","mchenry",250157
"illinois","mclean",204112
"illinois","menard",12142
"illinois","mercer",8400
"illinois","monroe",21349
"illinois","montgomery",13439
"illinois","morgan",20363
"illinois","moultrie",16097
"illinois","ogle",34156
"illinois","peoria",344151
"illinois","perry",12708
"illinois","piatt",14948
"illinois","pike",8146
"illinois","pope",7119
"illinois","pulaski",2181
"illinois","putnam",2244
"illinois","randolph",28768
"illinois","richland",15093
"illinois","rock island",520405
"illinois","saline",19598
"illinois","sangamon",469915
"illinois","schuyler",1656
"illinois","scott",3318
"illinois","shelby",9169
"illinois","st clair",213371
"illinois","stark",2798
"illinois","stephenson",41579
"illinois","tazewell",101621
"illinois","union",10599
"illinois","vermilion",41022
"illinois","wabash",4018
"illinois","warren",10462
"illinois","washington",5392
"illinois","wayne",9885
"illinois","white",12233
"illinois","whiteside",44156
"illinois","will",548044
"illinois","williamson",63339
"illinois","winnebago",215417
"illinois","woodford",31003
"indiana","adams",30418
"indiana","allen",479007
"indiana","bartholomew",203053
"indiana","benton",3072
"indiana","blackford",3650
"indiana","boone",43749
"indiana","brown",5798
"indiana","carroll",13936
"indiana","cass",18988
"indiana","clark",88934
"indiana","clay",17239
"indiana","clinton",15262
"indiana","crawford",1402
"indiana","daviess",16448
"indiana","de kalb",44821
"indiana","dearborn",25900
"indiana","decatur",25361
"indiana","delaware",123005
"indiana","dubois",95245
"indiana","elkhart",146847
"indiana","fayette",9560
"indiana","floyd",112320
"indiana","fountain",14851
"indiana","franklin",15002
"indiana","fulton",4719
"indiana","gibson",6684
"indiana","grant",74308
"indiana","greene",10364
"indiana","hamilton",395328
"indiana","hancock",39100
"indiana","harrison",12414
"indiana","hendricks",107771
"indiana","henry",19463
"indiana","howard",122735
"indiana","huntington",11949
"indiana","jackson",29866
"indiana","jasper",91279
"indiana","jay",6758
"indiana","jefferson",20590
"indiana","jennings",14027
"indiana","johnson",94896
"indiana","knox",83328
"indiana","kosciusko",66226
"indiana","la porte",125538
"indiana","lagrange",10087
"indiana","lake",423231
"indiana","lawrence",30019
"indiana","madison",87165
"indiana","marion",10234761
"indiana","marshall",26156
"indiana","martin",11005
"indiana","miami",10236
"indiana","monroe",660735
"indiana","montgomery",92967
"indiana","morgan",49226
"indiana","newton",3752
"indiana","noble",37455
"indiana","ohio",1531
"indiana","orange",5800
"indiana","owen",8205
"indiana","parke",4151
"indiana","perry",9300
"indiana","pike",3023
"indiana","porter",179513
"indiana","posey",3582
"indiana","pulaski",13810
"indiana","putnam",97381
"indiana","randolph",6313
"indiana","ripley",14602
"indiana","rush",29058
"indiana","scott",4402
"indiana","shelby",36214
"indiana","spencer",35101
"indiana","st joseph",586632
"indiana","starke",14358
"indiana","steuben",28233
"indiana","sullivan",6923
"indiana","switzerland",1113
"indiana","tippecanoe",422287
"indiana","tipton",4141
"indiana","union",2549
"indiana","vanderburgh",338944
"indiana","vermillion",6374
"indiana","vigo",207654
"indiana","wabash",17656
"indiana","warren",2181
"indiana","warrick",25678
"indiana","washington",11807
"indiana","wayne",112264
"indiana","wells",32237
"indiana","white",17590
"indiana","whitley",30583
"iowa","adair",3762
"iowa","adams",2678
"iowa","allamakee",7410
"iowa","appanoose",5866
"iowa","audubon",3331
"iowa","benton",10109
"iowa","black hawk",228041
"iowa","boone",9327
"iowa","bremer",14542
"iowa","buchanan",7927
"iowa","buena vista",81502
"iowa","butler",7642
"iowa","calhoun",4717
"iowa","carroll",9815
"iowa","cass",8996
"iowa","cedar",13563
"iowa","cerro gordo",37125
"iowa","cherokee",10069
"iowa","chickasaw",5516
"iowa","clarke",7654
"iowa","clay",11539
"iowa","clayton",6118
"iowa","clinton",37606
"iowa","crawford",13408
"iowa","dallas",12387
"iowa","davis",4229
"iowa","decatur",10708
"iowa","delaware",9568
"iowa","des moines",32151
"iowa","dickinson",20892
"iowa","dubuque",64584
"iowa","emmet",7625
"iowa","fayette",12451
"iowa","floyd",8310
"iowa","franklin",10349
"iowa","fremont",2690
"iowa","greene",5750
"iowa","grundy",8822
"iowa","guthrie",8290
"iowa","hamilton",3760
"iowa","hancock",7400
"iowa","hardin",11905
"iowa","harrison",7402
"iowa","henry",17643
"iowa","howard",5641
"iowa","humboldt",5497
"iowa","ida",4082
"iowa","iowa",20189
"iowa","jackson",14957
"iowa","jasper",23858
"iowa","jefferson",31182
"iowa","johnson",383947
"iowa","jones",12337
"iowa","keokuk",3569
"iowa","kossuth",9057
"iowa","lee",16738
"iowa","linn",731488
"iowa","louisa",2545
"iowa","lucas",6508
"iowa","lyon",4927
"iowa","madison",5910
"iowa","mahaska",9710
"iowa","marion",33051
"iowa","marshall",156979
"iowa","mills",10834
"iowa","mitchell",9455
"iowa","monona",5029
"iowa","monroe",6541
"iowa","montgomery",9514
"iowa","muscatine",5354
"iowa","obrien",3823
"iowa","osceola",2554
"iowa","page",6693
"iowa","palo alto",10924
"iowa","plymouth",15147
"iowa","pocahontas",7525
"iowa","polk",1517360
"iowa","pottawattamie",68338
"iowa","poweshiek",78054
"iowa","ringgold",5877
"iowa","sac",5376
"iowa","scott",222236
"iowa","shelby",5990
"iowa","sioux",34112
"iowa","story",237810
"iowa","tama",6282
"iowa","taylor",3377
"iowa","union",8318
"iowa","van buren",1272
"iowa","wapello",23963
"iowa","warren",17973
"iowa","washington",11789
"iowa","wayne",2571
"iowa","webster",44719
"iowa","winnebago",9045
"iowa","winneshiek",23414
"iowa","woodbury",89130
"iowa","worth",4723
"iowa","wright",9376
"kansas","allen",26075
"kansas","anderson",3190
"kansas","atchison",9232
"kansas","barber",8946
