"subregion","region","pop","high","college","income","poppermile","establishments","employees","ipaddr"
"lafayette","missouri",33080,87.4,16.4,50000,53.1,685,5990,19900
"lafayette","wisconsin",16853,89.5,16.5,49850,26.6,352,2607,7591
"lafourche","louisiana",97029,73.3,14.8,49262,90.2,1867,28269,46954
"lagrange","indiana",37521,60.5,10.4,47057,97.8,766,9909,10087
"lake","california",63983,87.2,16.2,39525,51.5,1047,8671,28713
"lake","colorado",7338,80.8,21.7,40543,19.4,183,1209,4603
"lake","florida",303186,87.1,20.1,47509,316.6,6208,66844,234106
"lake","illinois",702120,88.6,41.5,79666,1585.6,19347,307559,1510252
"lake","indiana",493618,86.5,19.5,49443,994.1,9840,163902,423231
"lake","michigan",11498,81.9,9.4,30639,20.3,167,1050,2150
"lake","minnesota",10818,92.7,20,47450,5.2,289,3246,15312
"lake","montana",28986,89.9,25.5,38268,19.3,773,5038,20166
"lake","ohio",229582,91,24.8,55968,1011.2,6136,83423,228720
"lake","oregon",7771,87.2,17.7,36583,1,192,1207,4214
"lake","south dakota",11771,91.7,26.6,46412,19.9,348,3451,70130
"lake","tennessee",7690,68.6,6.2,26797,47.2,77,530,516
"lake of the woods","minnesota",3973,88.8,15.9,43523,3.1,155,1357,1402
"lamar","alabama",14259,76.3,9.4,34711,24.1,246,2758,2288
"lamar","georgia",18057,79,10.9,39684,99.8,227,2341,11919
"lamar","mississippi",57786,87.9,32.5,50075,112,1301,17001,27038
"lamar","texas",49811,81.9,16.7,40050,54.9,1161,16691,25560
"lamb","texas",14008,73,13,35589,13.8,260,2620,4854
"lamoille","vermont",24958,91.7,34.6,53368,53.3,969,10183,24892
"lampasas","texas",20107,84.9,18.9,48760,27.6,373,3669,15986
"lancaster","nebraska",293407,93.4,35.9,51059,340.8,7779,125461,602944
"lancaster","pennsylvania",526823,83.3,23.2,55816,550.4,12041,210772,631773
"lancaster","south carolina",79089,80.5,16.8,40034,139.6,1176,14069,118962
"lancaster","virginia",11236,83.5,25.6,46625,85.5,500,4145,5081
"lander","nevada",5941,77.6,13,69814,1.1,83,1245,2333
"lane","kansas",1704,87.9,19.6,41536,2.4,73,388,1912
"lane","oregon",354542,90.3,27.8,42621,77.2,9437,112024,753240
"langlade","wisconsin",19646,87.5,12.2,42045,22.9,573,6465,21798
"lanier","georgia",10400,74.1,13.5,40878,54.4,103,901,3348
"lapeer","michigan",88173,89.6,17,54240,137.4,1541,16091,76375
"laramie","wyoming",94483,92.2,24.4,54156,34.2,2780,30566,635108
"larimer","colorado",310487,93.9,43.1,57215,115.4,9356,104622,2158326
"larue","kentucky",14151,78.1,10.9,37920,54.3,237,1954,6381
"las animas","colorado",14945,83.5,18.2,40617,3.2,387,3352,6322
"lassen","california",33658,79.8,12.4,52484,7.7,415,3466,37438
"latah","idaho",38184,93.7,43.7,39578,34.6,877,7943,164671
"latimer","oklahoma",11019,83.1,14.2,42610,15.4,178,1715,3482
"lauderdale","alabama",92542,82.9,21.6,39702,138.8,1968,24479,43300
"lauderdale","mississippi",80220,81.9,17.9,35420,114.1,1986,30319,40896
"lauderdale","tennessee",27718,74.5,10.2,34078,58.9,305,4821,22593
"laurel","kentucky",59462,73.9,13.2,37286,135.6,1182,22072,35109
"laurens","georgia",48041,80,16,37640,60,1048,14846,20909
"laurens","south carolina",66223,75.4,14.9,38713,93.2,938,15866,23418
"lavaca","texas",19468,77.5,14.5,43570,19.9,451,5220,4674
"lawrence","alabama",33838,77.7,12.3,40009,49.7,407,4734,8557
"lawrence","arkansas",17012,75.8,9.4,32337,29.6,284,2789,4511
"lawrence","illinois",16604,79.3,10.5,38326,45.2,290,3337,8570
"lawrence","indiana",46078,82.2,12.9,43195,102.7,868,11216,30019
"lawrence","kentucky",15848,71,9,32279,38.2,219,2406,9048
"lawrence","mississippi",12551,80.7,11.8,37000,30,184,1895,1798
"lawrence","missouri",38467,80.4,14.6,39829,63.2,686,7116,5586
"lawrence","ohio",62109,82.7,13.8,38639,137.7,818,10078,24587
"lawrence","pennsylvania",89871,87.5,19,43821,254.4,1989,26388,52996
"lawrence","south dakota",24397,92.7,31.2,45137,30.1,992,9533,30713
"lawrence","tennessee",42086,77.6,11.2,35737,67.8,706,8214,24680
"le flore","oklahoma",49873,79.7,11.5,36815,31.7,814,8124,24923
"le sueur","minnesota",27677,90.4,21.3,58074,61.7,659,6263,19388
"lea","new mexico",66338,72.5,13.8,46781,14.7,1589,21588,52599
"leake","mississippi",23297,75.7,10.3,32537,40.8,301,4627,6955
"leavenworth","kansas",77739,91.4,28.7,62853,164.7,1177,13817,90329
"lebanon","pennsylvania",135251,84.9,18.7,53474,369.1,2610,43384,134102
"lee","alabama",147257,85.5,31.2,42320,230.8,2343,35565,169312
"lee","arkansas",10216,68.7,6.5,25270,17.3,130,992,1679
"lee","florida",645293,87,24.6,49444,788.7,15629,171148,501247
"lee","georgia",28746,83.7,18.5,58252,79.5,371,3231,14449
"lee","illinois",35037,86,15.4,49451,49.7,729,10148,33154
"lee","iowa",35617,87.5,14.8,42437,69.3,911,12601,16738
"lee","kentucky",7706,68.5,6.8,24674,37.8,100,1425,3067
"lee","mississippi",85042,82.5,20.9,41150,184.3,2374,45784,42354
"lee","north carolina",59715,81.4,19.2,44836,227,1260,23387,58083
"lee","south carolina",18654,67.8,8,27011,46.9,215,2061,2180
"lee","texas",16601,79.8,13.7,45754,26.4,400,3912,4180
"lee","virginia",25474,72.5,11.8,32588,58.8,279,3383,8522
"leelanau","michigan",21607,93.8,38.6,55247,62.5,705,3823,15962
"leflore","mississippi",30948,68.3,16.1,22353,54.5,738,12147,24244
"lehigh","pennsylvania",355245,85.8,27.3,54312,1012.5,8382,155897,677664
"lemhi","idaho",7758,90.2,21.2,40270,1.7,294,1573,4262
"lenawee","michigan",98987,88.4,19.5,48595,133.3,1827,22482,91818
"lenoir","north carolina",59227,77.5,14.2,33749,148.5,1286,20306,24912
"leon","florida",283769,91.2,43.1,45827,413.1,7253,89580,1531593
"leon","texas",16803,79.8,12.6,42150,15.7,348,4227,13007
"leslie","kentucky",11170,58.7,7.7,29050,28.2,118,1095,5991
"letcher","kentucky",23952,70.1,10.3,29564,72.6,341,4511,7876
"levy","florida",40025,80.7,12.2,35920,36.5,711,5167,28140
"lewis","idaho",3889,88.8,15.2,35344,8,130,789,0
"lewis","kentucky",13835,65.9,8.8,27181,28.7,125,1317,6233
"lewis","missouri",10174,85.4,12.8,40579,20.2,191,1876,5756
"lewis","new york",27224,86.9,13.7,44281,21.3,526,4583,13025
"lewis","tennessee",11896,76.1,10.4,32337,43.1,196,1688,3950
"lewis","washington",75621,85.6,15,44373,31.4,1798,18256,39811
"lewis","west virginia",16371,81.5,13.1,34617,42.5,406,5131,7528
"lewis and clark","montana",64876,94.9,36.8,53053,18.3,2152,23255,137278
"lexington","south carolina",270406,87.8,27.3,52857,375.4,6014,86980,253276
"liberty","florida",8276,73.2,13.2,40893,10,81,870,2167
"liberty","georgia",65471,90,17.3,44146,129.5,812,11917,61579
"liberty","montana",2392,73.5,20.8,42674,1.6,64,321,637
"liberty","texas",76571,75.1,8.5,47460,65.3,1035,11730,40497
"licking","ohio",167537,89,22.4,54699,243.9,2859,45026,173447
"limestone","alabama",87654,80.4,21.1,47199,147.8,1228,13590,35388
"limestone","texas",23585,78.7,11.9,42851,25.8,395,5140,7484
"lincoln","arkansas",14101,70.9,9,31480,25.2,157,1663,641
"lincoln","colorado",5453,79.9,12.3,43375,2.1,126,1229,2694
"lincoln","georgia",7737,80,10.2,36741,38,135,827,3327
"lincoln","idaho",5277,75.5,10.8,45077,4.3,83,643,1657
"lincoln","kansas",3174,90.5,18.8,41050,4.5,91,554,134
"lincoln","kentucky",24461,73.4,9.8,33398,74.1,295,3508,14684
"lincoln","louisiana",46953,85.3,32.3,34152,99.1,977,14335,97103
"lincoln","maine",34180,92.3,31.3,48862,75.6,1393,8317,20452
"lincoln","minnesota",5818,90.5,18.1,46270,11,214,1533,4208
"lincoln","mississippi",34900,81.6,17.5,38438,59.5,769,10223,10801
"lincoln","missouri",53354,84,12.5,53726,83.9,889,7828,31231
"lincoln","montana",19491,86.8,17.2,32012,5.4,620,3645,15576
"lincoln","nebraska",36099,92.2,19.2,49521,14.2,1041,11273,27616
"lincoln","nevada",5405,85.6,16.4,42662,0.5,86,610,2296
"lincoln","new mexico",20309,86.5,24.9,44557,4.2,708,5106,14673
"lincoln","north carolina",79313,82.1,19.7,50279,262.7,1509,16299,65799
"lincoln","oklahoma",34189,85.3,12.9,41763,36,568,5316,18773
"lincoln","oregon",46151,89.9,24.4,41764,47,1601,13651,31402
"lincoln","south dakota",48296,95.4,36.4,70043,77.7,1124,11271,22240
"lincoln","tennessee",33503,79,14.9,41454,58.5,572,6798,16600
"lincoln","washington",10437,91.5,19.2,46765,4.6,247,1582,6614
"lincoln","west virginia",21627,68.8,8,31880,49.7,213,2103,4466
"lincoln","wisconsin",28392,88.1,14.7,47426,32.7,685,8278,10807
"lincoln","wyoming",17961,91.7,20.9,60543,4.4,592,4159,13300
"linn","iowa",215295,93.5,30,55666,294.6,5335,113621,731488
"linn","kansas",9441,88,13.9,44408,16.3,165,NA,4727
"linn","missouri",12484,89.1,13.2,38211,20.7,299,3290,8097
"linn","oregon",118360,88.6,16.7,46872,50.9,2393,31723,64591
"lipscomb","texas",3480,79.6,19.9,55457,3.5,96,790,3952
"litchfield","connecticut",187530,91.3,32.7,71497,206.3,4909,51070,106192
"little river","arkansas",12919,82.1,12.5,38564,24.7,166,2837,2955
"live oak","texas",11664,77.7,13.6,45276,11.1,257,2403,2321
"livingston","illinois",38647,84.9,13.7,52835,37.3,908,11965,13466
"livingston","kentucky",9423,79,9.4,40248,30.4,154,1751,5108
"livingston","louisiana",131942,83.6,17.1,57254,197.5,1583,17334,60238
"livingston","michigan",182838,94,31.3,71694,320.2,4045,46409,143013
"livingston","missouri",15037,86.7,19.1,42260,28.5,415,5488,6134
"livingston","new york",64810,88.2,23.3,53231,103.5,1252,13042,98914
"llano","texas",19085,87.3,26.7,41837,20.7,436,3328,11365
"logan","arkansas",21983,78.2,11.2,38447,31.6,389,3919,8792
"logan","colorado",22631,87.5,16.4,42324,12.4,582,5286,19060
"logan","illinois",30013,85.9,16.8,48714,49,625,7681,14352
"logan","kansas",2784,89.6,19.6,41289,2.6,117,805,1858
"logan","kentucky",26646,75.9,10.1,35973,48.6,490,6734,14190
"logan","nebraska",765,96.8,19.8,45625,1.3,21,96,510
"logan","north dakota",1924,75.3,13.4,42069,2,72,427,2805
"logan","ohio",45474,86.1,14.4,47378,100,859,15136,43003
"logan","oklahoma",43666,87.2,23.1,50249,56.3,725,6126,16198
"logan","west virginia",36168,75.9,9.1,36562,81,695,10445,16060
"long","georgia",16048,77.5,8.9,38785,36.1,70,345,3700
"lonoke","arkansas",69839,85.6,17.3,51096,88.7,987,10709,9581
"lorain","ohio",301478,88.7,21,52194,613.6,5574,80961,232868
"los alamos","new mexico",18159,98.6,63.9,104914,164.4,366,NA,405779
"los angeles","california",9962789,76.1,29.2,56266,2419.6,245261,3648846,15529242
"loudon","tennessee",49793,84.8,23.6,50458,211.8,857,12156,38515
"loudoun","virginia",336898,93.6,57.6,120096,605.8,8191,122154,13634897
"louisa","iowa",11278,81.7,12.5,50982,28.3,219,2808,2545
"louisa","virginia",33430,82,18.1,56502,66.8,535,6663,23716
"loup","nebraska",589,92.3,14.7,36250,1.1,11,NA,0
"love","oklahoma",9558,81.7,14.7,41163,18.3,147,3484,2940
"loving","texas",71,92.9,5.4,78125,0.1,NA,NA,0
"lowndes","alabama",10857,74.3,13.7,27905,15.8,114,2145,4552
"lowndes","georgia",114552,83.6,22.4,38535,220.2,2725,37162,105929
"lowndes","mississippi",59670,80.8,19.8,37626,118.3,1500,21016,19544
"lubbock","texas",285760,83.5,27.4,43983,311.3,6839,105271,403579
"lucas","iowa",8760,88,12.3,43184,20.7,182,2427,6508
"lucas","ohio",437998,87.3,23,41949,1296.2,9794,193232,711280
"luce","michigan",6522,84,13.7,42083,7.4,163,1252,2563
"lumpkin","georgia",30611,81.5,20,43704,105.9,481,4346,16971
"luna","new mexico",25041,69.8,14,30921,8.5,410,4492,4972
"lunenburg","virginia",12588,69.4,9.6,35210,29.9,178,1514,4764
"luzerne","pennsylvania",321027,87.4,20.2,43296,360.4,7182,123796,339786
"lycoming","pennsylvania",117168,86.2,18.8,43788,94.5,2867,46228,158217
"lyman","south dakota",3789,86,19.2,41389,2.3,72,766,3591
"lynn","texas",5783,76.1,16,46456,6.6,87,677,2683
"lyon","iowa",11757,87.1,16.1,49938,19.7,389,2764,4927
"lyon","kansas",33748,85.3,23.7,37954,39.8,835,11455,27123
"lyon","kentucky",8351,84.2,12.8,40546,38.9,150,1123,9991
"lyon","minnesota",25543,89.9,25.8,47254,36.2,820,13061,22109
"lyon","nevada",51327,85.2,13.8,46598,26,729,8395,13941
"mackinac","michigan",11137,88.7,19.8,39055,10.9,444,2250,1135
"macomb","michigan",847383,87.9,22,54087,1754.9,17806,263087,686424
"macon","alabama",20535,78.9,21.1,29355,35.2,201,5269,15253
"macon","georgia",14263,71.5,11.8,28726,36.8,184,2008,2800
"macon","illinois",110122,87.1,20.8,45987,190.8,2478,45784,120974
"macon","missouri",15573,84.4,14.8,37889,19.4,353,3267,6253
"macon","north carolina",33869,84.3,19.8,38653,65.8,1087,9162,31892
"macon","tennessee",22498,75.3,8.3,34747,72.4,328,3297,8737
"macoupin","illinois",47231,88.3,15.3,48739,55.4,917,8614,40051
"madera","california",152218,67.8,14,47724,70.6,1882,25329,67761
"madison","alabama",343080,88.9,37.4,57453,417.7,7997,149519,3883554
"madison","arkansas",15645,75.3,12.2,35579,18.8,184,2368,12539
"madison","florida",18907,76.2,10.9,36557,27.6,308,2688,14609
"madison","georgia",27922,73.9,12.5,41407,99.6,359,2104,6382
"madison","idaho",37456,94.8,30.9,33791,80,735,13047,78183
"madison","illinois",267883,89.8,23.3,53143,376.3,5877,84870,464558
"madison","indiana",130348,86.8,16.8,44035,291.3,2295,33864,87165
"madison","iowa",15654,93.9,20.2,56333,27.9,351,2628,5910
"madison","kentucky",84786,84.2,27.4,41876,189.6,1558,20895,141477
"madison","louisiana",12154,76.6,11.5,26178,19.4,211,2379,10220
"madison","mississippi",98468,88.6,44.6,59730,133.2,2749,42676,218388
"madison","missouri",12448,76.8,9.8,35141,24.7,270,2813,5377
"madison","montana",7733,93.3,33.2,45242,2.1,347,1217,3886
"madison","nebraska",35031,86.9,20.9,45077,60.9,1289,17985,31483
"madison","new york",72382,89.3,24.3,53473,112.2,1400,17128,185710
"madison","north carolina",20742,79.2,16.6,38063,46.2,306,2908,12249
"madison","ohio",43053,84.7,16.4,54366,93.2,673,9993,18316
"madison","tennessee",98656,84.9,24,40667,176.4,2547,49652,109540
"madison","texas",13677,76.2,10.4,37437,29.3,216,2120,7413
"madison","virginia",13200,81.8,21.4,59734,41.5,264,2566,5116
"magoffin","kentucky",13041,64.7,9.4,25410,43.2,159,1445,6616
"mahaska","iowa",22443,89.8,18.9,46477,39.2,561,6816,9710
"mahnomen","minnesota",5536,83.5,13.7,39385,9.7,97,1597,3712
"mahoning","ohio",235145,87.9,20.9,40570,580.2,5702,84482,242158
"major","oklahoma",7683,85.6,16,48012,7.9,255,2061,4763
"malheur","oregon",30630,79.6,14.2,39013,3.2,710,8232,12731
"manatee","florida",333895,86.7,26,48181,434.5,7595,83991,223315
"manistee","michigan",24672,87.1,17.6,41169,45.6,563,5232,9049
"manitowoc","wisconsin",80671,90.2,17.7,50181,138.3,1790,30104,45203
"marathon","wisconsin",134735,88.8,21.2,54316,86.8,3371,59017,111932
"marengo","alabama",20401,80.9,17.8,35165,21.5,475,5583,9016
"maricopa","arizona",3942169,85.8,29.1,55099,414.9,83468,1449079,7206185
"maries","missouri",9014,80.7,14.2,42018,17.4,136,1021,4975
"marin","california",256069,92,54,89605,485.1,9483,94284,588838
"marinette","wisconsin",41563,88.4,14.3,41574,29.8,1119,16289,30175
"marion","alabama",30327,69.2,8.5,31799,41.5,521,6622,21897
"marion","arkansas",16568,84.8,14.5,34063,27.9,225,3030,6796
"marion","florida",335125,84.8,16.8,40103,209.1,6638,72006,223809
"marion","georgia",8711,75.8,6.3,32610,23.9,71,1166,2439
"marion","illinois",38894,84.9,13.6,40097,68.9,949,10532,8050
"marion","indiana",918977,84.2,27.1,43197,2279.6,22929,492783,10234761
"marion","iowa",33419,91.3,23.5,53730,60.1,829,15260,33051
"marion","kansas",12347,89.2,20.6,45941,13.4,299,2804,7399
"marion","kentucky",20090,82.5,13.5,38202,57.8,352,6767,9430
"marion","mississippi",26442,74.2,13.4,32117,49.9,610,6546,9733
"marion","missouri",28745,83.3,18,40915,65.9,835,11183,4411
"marion","ohio",66238,84,12.4,41337,164.7,1169,21136,42249
"marion","oregon",319985,82.5,20.7,46191,266.7,7515,93122,486521
"marion","south carolina",32457,80.2,12.7,31762,67.6,500,6148,13224
"marion","tennessee",28291,74.5,14.7,39857,56.7,429,5250,19013
"marion","texas",10324,79.9,12.1,31903,27.7,151,1394,6893
"marion","west virginia",56678,85.3,19.3,39870,182.7,1263,17556,43424
"mariposa","california",17905,88.7,20.5,49174,12.6,351,3272,13556
"marlboro","south carolina",28145,68,8.8,28511,60.3,346,4618,8151
"marquette","michigan",67906,92.3,28.6,45495,37.1,1644,21200,75473
"marquette","wisconsin",15205,85,12.4,45046,33.8,287,3274,11120
"marshall","alabama",94776,74.5,15.2,38563,164.4,1834,31089,43755
"marshall","illinois",12327,90.7,16.5,51642,32.7,277,2792,20810
"marshall","indiana",47024,84.3,16.8,48536,106.1,1047,15724,26156
"marshall","iowa",40857,84.5,18.7,47691,71,823,15039,156979
"marshall","kansas",10022,90.2,12.8,42464,11.2,371,3998,6894
"marshall","kentucky",31344,84.6,15.2,45605,104.4,644,8202,16605
"marshall","minnesota",9449,86.2,16.6,49636,5.3,271,1643,5610
"marshall","mississippi",36612,70,10.6,33279,52.6,420,6114,11608
"marshall","oklahoma",15957,79.7,15.5,39473,42.7,274,4171,3717
"marshall","south dakota",4671,86.6,16.2,41731,5.6,146,1046,4341
"marshall","tennessee",30883,78.3,11.2,41620,81.5,473,6507,20635
"marshall","west virginia",32674,86.6,13.2,37313,108.4,486,8447,10586
"martin","florida",148817,88.7,29.9,53612,269.2,4921,49363,143246
"martin","indiana",10260,82.2,9.5,43592,30.8,191,2174,11005
"martin","kentucky",12743,67.1,8.4,23920,56.3,168,2555,3686
"martin","minnesota",20475,88.7,19.1,44791,29.3,622,8422,19921
"martin","north carolina",23961,79.7,12.9,36345,53.1,457,5529,7016
"martin","texas",5017,72.2,12.2,42050,5.2,98,834,127
"mason","illinois",14327,83.8,15.9,42929,27.2,299,2394,9440
"mason","kentucky",17512,78.5,14,40678,72.8,452,7028,11127
"mason","michigan",28680,88.1,19.5,40683,58,744,8529,23377
"mason","texas",4003,80.5,27.6,41462,4.3,131,755,3575
"mason","washington",60832,87.7,18.1,48912,63.3,970,9276,46672
"mason","west virginia",27179,79.5,11,36468,63.4,344,4512,12085
"massac","illinois",15234,84.3,15.6,40885,65,235,4396,2803
"matagorda","texas",36547,78.6,15.6,43962,33.4,746,8504,83903
"mathews","virginia",8884,86.1,22.7,54118,104.5,177,964,5615
"maury","tennessee",81990,83.9,16.6,46552,132,1620,22564,54932
"maverick","texas",55365,56.1,12.5,29504,42.4,762,11246,20293
"mayes","oklahoma",41168,84.4,13.6,42425,63,776,9086,17935
"mcclain","oklahoma",35613,88.2,18.9,56128,60.5,779,6898,12028
"mccone","montana",1701,93.7,19.9,50774,0.7,57,378,382
"mccook","south dakota",5610,92.3,19.6,46964,9.8,180,871,2039
"mccormick","south carolina",9943,79.6,17.3,36243,28.5,89,927,3572
"mccracken","kentucky",65549,86.5,21.4,44054,263.6,2138,34524,62852
"mccreary","kentucky",18069,69.8,7.6,24292,42.9,155,1552,5101
"mcculloch","texas",8313,79.5,18.4,37861,7.8,211,2134,3857
"mccurtain","oklahoma",33203,80.2,12.3,31328,17.9,545,8113,19422
"mcdonald","missouri",22876,76.5,9.7,37701,42.8,310,5445,7397
"mcdonough","illinois",32537,91.6,33.5,34186,55.3,686,9503,68292
"mcdowell","north carolina",44998,78.9,13.9,35230,102.1,732,12021,28753
"mcdowell","west virginia",21326,59.9,6.3,21967,41.5,280,3239,11361
"mcduffie","georgia",21663,71.8,12.8,36841,85,450,6240,16569
"mchenry","illinois",308145,91.9,31.9,76909,511.9,7717,83244,250157
"mchenry","north dakota",5789,85.5,14.8,41989,2.9,122,719,1719
"mcintosh","georgia",13839,77.5,15.2,37194,33.8,191,1236,12394
"mcintosh","north dakota",2751,72,16.1,35757,2.9,111,854,382
"mcintosh","oklahoma",20584,79.5,12.8,32305,32.7,343,3079,8680
"mckean","pennsylvania",43127,88.8,15.2,40721,44.4,1055,13476,21615
"mckenzie","north dakota",7987,89,20.7,53902,2.3,292,2289,4971
"mckinley","new mexico",73016,71,11,31947,13.1,992,16063,23292
"mclean","illinois",172281,93.4,41.1,59410,143.3,3694,76610,204112
"mclean","kentucky",9506,78.5,11.3,40183,37.8,161,1093,3065
"mclean","north dakota",9309,88.2,17.3,52996,4.2,249,2320,2124
"mclennan","texas",238707,80.8,21.6,41656,226.5,4938,95918,288652
"mcleod","minnesota",36053,90.5,18.3,57323,74.6,993,16574,31516
"mcminn","tennessee",52416,78.4,14.6,38604,121.5,865,15347,29058
"mcmullen","texas",726,78.4,8.6,29500,0.6,17,232,511
"mcnairy","tennessee",26180,76.1,11.8,34953,46.3,429,4553,8263
"mcpherson","kansas",29356,87.3,25,53332,32.5,892,13764,23272
"mcpherson","nebraska",509,91.6,22.7,57917,0.6,4,10,127
"mcpherson","south dakota",2439,73.2,17.3,35065,2.2,77,343,1146
"meade","kansas",4396,86.2,22.5,49551,4.7,135,911,1658
"meade","kentucky",29237,85.6,12.9,45007,93.6,341,3187,23424
"meade","south dakota",26052,92.4,21.5,47504,7.3,674,4757,13536
"meagher","montana",1924,85.9,16.7,33846,0.8,68,267,756
"mecklenburg","north carolina",969031,88.6,40.4,55994,1755.5,27520,508744,2441449
"mecklenburg","virginia",31749,75.8,12.7,36069,52.3,802,9674,14431
"mecosta","michigan",43318,88.7,21.6,37677,77.1,739,8963,83785
"medina","ohio",173684,93.1,30.1,65578,409,3909,51394,141009
"medina","texas",46765,79.5,19.3,50101,34.7,659,5594,10942
"meeker","minnesota",23061,89.8,16.1,51929,38.3,578,6095,16514
"meigs","ohio",23593,83.2,10.9,33708,55.3,310,2461,7645
"meigs","tennessee",11698,75,7.9,34942,60.2,105,1559,3152
"mellette","south dakota",2101,82.6,15.4,34013,1.6,25,NA,255
"menard","illinois",12722,90.7,21.2,56943,40.4,216,1372,12142
"menard","texas",2240,81.6,13.3,41923,2.5,41,184,254
"mendocino","california",87428,83.6,22.1,44527,25.1,2464,21148,59305
"menifee","kentucky",6220,68.5,11,28279,31,62,NA,2296
"menominee","michigan",23815,89.4,13.4,42014,23,457,5278,9905
"merced","california",262305,66.7,12.3,43945,132.2,2830,39914,225112
"mercer","illinois",16219,88.1,14,51216,29.3,299,2479,8400
"mercer","kentucky",21261,83.2,18,47690,85.7,378,4824,8848
"mercer","missouri",3729,89.2,13.7,34440,8.3,74,414,1417
"mercer","new jersey",368303,87.1,38,73883,1632.2,9615,177336,1553628
"mercer","north dakota",8486,86.3,18.9,62578,8.1,229,NA,10860
"mercer","ohio",40875,89.1,14.5,51236,88.3,939,13912,20840
"mercer","pennsylvania",115655,87.8,19.5,43504,173.4,2779,44066,86990
"mercer","west virginia",62523,80.6,16.8,33704,148.6,1324,18849,50736
"meriwether","georgia",21273,70.1,9.2,37028,43.9,304,2962,13795
"merrick","nebraska",7780,89.9,14.7,49262,16.2,232,1627,15451
"merrimack","new hampshire",146761,91.8,33.4,65722,156.8,4060,58812,204125
"mesa","colorado",147848,89.8,26.1,52986,44.1,4529,49509,102086
"metcalfe","kentucky",9969,69.1,7.8,35199,34.9,125,1235,5612
"miami","indiana",36486,82.9,9.5,39746,98.7,560,6762,10236
"miami","kansas",32612,92.7,23.3,59668,57,711,6308,30957
"miami","ohio",103060,87.5,19.7,51438,252.1,2099,34097,133285
"middlesex","connecticut",165602,93,38.3,77095,448.6,4139,58100,349775
"middlesex","massachusetts",1537215,91.8,49.8,79691,1837.9,41961,802736,32795378
"middlesex","new jersey",823041,88.6,38.9,78622,2621.6,21095,361453,15951197
"middlesex","virginia",10822,86.2,25.3,53615,84.1,338,2139,11281
"midland","michigan",83822,91.4,31.9,52465,162,1771,36653,425461
"midland","texas",146645,81.8,23.7,57807,152,4655,65689,107236
"mifflin","pennsylvania",46773,80.9,11.3,38892,113.6,934,13635,20053
"milam","texas",24157,81.6,14.3,39751,24.3,424,4132,15884
"millard","utah",12569,86.2,19.5,47062,1.9,246,2719,25695
"mille lacs","minnesota",25740,87.7,14.7,46100,45.6,647,7602,32675
"miller","arkansas",43634,83,12.9,40200,69.5,713,11385,71697
"miller","georgia",5969,78.1,11.3,33248,21.7,131,1097,637
"miller","missouri",24817,83.2,13,36411,41.8,695,5669,7633
"mills","iowa",14837,91.2,24.1,61796,34.4,294,2055,10834
"mills","texas",4828,77.5,17.7,38138,6.6,115,898,2680
"milwaukee","wisconsin",955205,85.2,27.1,43397,3926,19534,445979,1954958
"miner","south dakota",2326,88.2,20,42361,4.2,78,483,1531
"mineral","colorado",709,97.6,39.7,54375,0.8,65,NA,220
"mineral","montana",4167,84.1,12.4,36261,3.5,113,870,1264
"mineral","nevada",4653,86,7.8,31108,1.3,63,488,895
"mineral","west virginia",27956,85.9,12.5,34691,86.1,452,6445,26910
"mingo","west virginia",26103,70.1,8.8,32794,63.4,440,5629,8546
"minidoka","idaho",20037,75.8,10,43194,26.5,410,4380,11117
"minnehaha","south dakota",175037,90.8,29.2,52758,210,5366,108609,267113
"missaukee","michigan",15031,86.5,13.4,39735,26.3,273,1867,5961
"mississippi","arkansas",45562,75.7,12.6,34267,51.6,856,15660,11434
"mississippi","missouri",14322,66.6,10.7,28474,34.9,255,2446,2167
"missoula","montana",110977,93.7,38.1,43895,42.1,4081,46175,306013
"mitchell","georgia",23144,68.1,10.7,37597,45.9,374,6291,9988
"mitchell","iowa",10725,89.7,16.5,49389,23,331,3166,9455
"mitchell","kansas",6355,90.6,20.7,45237,9.1,254,2518,14329
"mitchell","north carolina",15368,79.1,13.7,36165,70.4,376,3886,6622
"mitchell","texas",9336,76.2,8.4,41281,10.3,132,1345,5499
"mobile","alabama",413936,82.9,20.1,42187,335.9,8659,149033,221263
"modoc","california",9327,83.1,16.2,35402,2.5,154,1310,5998
"moffat","colorado",13200,86.5,14.1,50758,2.9,424,3785,10800
"mohave","arizona",203334,83.9,12.2,40573,15,3600,39743,166115
"moniteau","missouri",15625,81.6,16.9,50887,37.6,327,2728,2200
"monmouth","new jersey",629384,91.6,39.6,83842,1344.7,18625,217076,5408900
"mono","california",14348,86.3,30.3,60469,4.7,561,6451,18757
"monona","iowa",9124,88,13.9,42283,13.3,235,2138,5029
"monongalia","west virginia",100332,88.4,36.8,41325,267.1,2206,41271,191444
"monroe","alabama",22602,75.4,10.4,29849,22.5,393,5190,16150
"monroe","arkansas",7828,71.5,13.7,28306,13.4,187,1621,3074
"monroe","florida",74809,89.3,27.8,53889,74.3,3487,27579,0
"monroe","georgia",26637,78.7,18.3,48632,66.8,491,6656,10903
"monroe","illinois",33357,91.5,23.6,69291,85.6,777,7473,21349
"monroe","indiana",141019,91.5,42.5,38524,349.7,2963,47095,660735
"monroe","iowa",8063,87.2,16.7,43913,18.4,173,1679,6541
"monroe","kentucky",10821,71.8,10.7,28548,33.3,212,2324,4205
