subregion,region,pop,high,college,income,poppermile,establishments,employees
hinsdale,colorado,810,95.1,41.5,77321,0.8,74,201
huerfano,colorado,6596,83.2,25,29737,4.2,163,1283
jackson,colorado,1348,90.1,21.8,48571,0.9,62,369
jefferson,colorado,545358,93.2,39.7,67827,699.5,15986,184960
kiowa,colorado,1444,91.2,23,41542,0.8,41,
kit carson,colorado,8094,83.8,15.4,43194,3.8,245,1860
la plata,colorado,52401,93.9,41,56910,30.3,2258,18368
lake,colorado,7338,80.8,21.7,40543,19.4,183,1209
larimer,colorado,310487,93.9,43.1,57215,115.4,9356,104622
las animas,colorado,14945,83.5,18.2,40617,3.2,387,3352
lincoln,colorado,5453,79.9,12.3,43375,2.1,126,1229
logan,colorado,22631,87.5,16.4,42324,12.4,582,5286
mesa,colorado,147848,89.8,26.1,52986,44.1,4529,49509
mineral,colorado,709,97.6,39.7,54375,0.8,65,
moffat,colorado,13200,86.5,14.1,50758,2.9,424,3785
montezuma,colorado,25431,89.2,26.1,45623,12.6,747,6456
montrose,colorado,40725,84.6,22.9,47479,18.4,1236,10514
morgan,colorado,28472,78.1,14.6,42792,22,659,8815
otero,colorado,18698,80.6,13.6,31246,14.9,450,4705
ouray,colorado,4530,96.9,42.1,61935,8.2,255,910
park,colorado,16029,94.8,33.8,61284,7.4,437,1151
phillips,colorado,4367,85.8,19.3,44717,6.5,133,966
pitkin,colorado,17263,95.5,56.5,68242,17.7,1549,15916
prowers,colorado,12389,80.9,18.9,34513,7.7,330,2775
pueblo,colorado,160852,85.7,21.5,41273,66.7,3093,45865
rio blanco,colorado,6857,93.3,23,63125,2.1,236,1760
rio grande,colorado,11943,85.2,19.2,37885,13.1,364,2846
routt,colorado,23334,97.3,47.9,64230,10,1541,15479
saguache,colorado,6304,77.3,20.1,33672,1.9,123,739
san juan,colorado,690,90.6,26.5,36378,1.8,70,177
san miguel,colorado,7580,95.7,50.4,66789,5.7,630,4565
sedgwick,colorado,2383,85.2,15,36797,4.3,68,371
summit,colorado,28044,94.7,49.2,67915,46,2075,18873
teller,colorado,23389,94.1,29.9,57931,41.9,684,5071
washington,colorado,4766,87,18.6,43945,1.9,104,488
weld,colorado,263691,85.2,25.6,55825,63.4,5125,66594
yuma,colorado,10119,86.4,16.4,44991,4.2,361,2556
fairfield,connecticut,933835,88.4,44,82558,1467.2,26725,398342
hartford,connecticut,897259,87.3,33.9,64007,1216.2,22470,432172
litchfield,connecticut,187530,91.3,32.7,71497,206.3,4909,51070
middlesex,connecticut,165602,93,38.3,77095,448.6,4139,58100
new haven,connecticut,862813,87.8,32.3,62497,1426.7,19261,325467
