"subregion","region","pop","income","ufo2010","ufo2pop"
"la moure","north dakota",4114,49922,0,0
"logan","north dakota",1924,42069,2,0.00103950103950104
"mchenry","north dakota",5789,41989,0,0
"mcintosh","north dakota",2751,35757,0,0
"mckenzie","north dakota",7987,53902,0,0
"mclean","north dakota",9309,52996,2,0.000214845848103985
"mercer","north dakota",8486,62578,1,0.000117841150129625
"morton","north dakota",28101,55196,1,3.5585922209174e-05
"mountrail","north dakota",8734,56593,0,0
"nelson","north dakota",3080,41961,1,0.000324675324675325
"oliver","north dakota",1838,61131,0,0
"pembina","north dakota",7271,52270,0,0
"pierce","north dakota",4457,40139,0,0
"ramsey","north dakota",11536,44452,0,0
"ransom","north dakota",5444,47922,0,0
"renville","north dakota",2559,50093,0,0
"richland","north dakota",16217,48908,1,6.16636862551643e-05
"rolette","north dakota",14382,27662,0,0
"sargent","north dakota",3896,52154,0,0
"sheridan","north dakota",1266,38235,0,0
"sioux","north dakota",4347,32802,1,0.000230043708304578
"slope","north dakota",758,55625,0,0
"stark","north dakota",26771,54269,3,0.000112061559149826
"steele","north dakota",1989,49485,0,0
"stutsman","north dakota",20934,46317,0,0
"towner","north dakota",2318,47703,0,0
"traill","north dakota",8072,48341,0,0
"walsh","north dakota",11046,46453,0,0
"ward","north dakota",64798,51081,9,0.0001388931757153
"wells","north dakota",4271,42035,0,0
"williams","north dakota",26697,62082,0,0
"adams","ohio",28350,34232,6,0.000211640211640212
"allen","ohio",105141,43323,7,6.65772629136112e-05
"ashland","ohio",52962,45641,0,0
"ashtabula","ohio",100389,41501,17,0.000169341262488918
"athens","ohio",64304,33546,4,6.22045284896741e-05
"auglaize","ohio",45831,52838,1,2.18192926185333e-05
"belmont","ohio",69671,39712,8,0.000114825393635803
"brown","ohio",44381,46046,1,2.25321646650594e-05
"butler","ohio",370589,55497,13,3.5079292693523e-05
"carroll","ohio",28587,43323,3,0.000104942806170637
"champaign","ohio",39565,48335,2,5.05497282952104e-05
"clark","ohio",137206,44037,9,6.55947990612655e-05
"clermont","ohio",199085,60219,17,8.53906622799307e-05
"clinton","ohio",41886,47264,4,9.54973022012128e-05
"columbiana","ohio",106507,41003,7,6.57233796839644e-05
"coshocton","ohio",36779,40727,2,5.43788575002039e-05
"crawford","ohio",42849,41336,2,4.66755350183202e-05
"cuyahoga","ohio",1265111,44088,50,3.95222237416322e-05
"darke","ohio",52507,45055,14,0.00026663111585122
"defiance","ohio",38677,46864,5,0.000129275796985288
"delaware","ohio",181061,90022,18,9.94140096431589e-05
"erie","ohio",76398,47466,1,1.30893478886882e-05
"fairfield","ohio",147474,58249,13,8.81511317249142e-05
"fayette","ohio",28880,39263,4,0.000138504155124654
"franklin","ohio",1195537,50045,82,6.85884251177504e-05
"fulton","ohio",42513,51851,3,7.0566650201115e-05
"gallia","ohio",30708,36918,0,0
"geauga","ohio",93680,66229,6,6.40478223740393e-05
"greene","ohio",163587,57553,17,0.000103920238160734
"guernsey","ohio",39817,38179,2,5.02298013411357e-05
"hamilton","ohio",802038,49218,1,1.24682371658201e-06
"hancock","ohio",75671,49888,8,0.000105720817750525
"hardin","ohio",31627,39945,1,3.16185537673507e-05
"harrison","ohio",15714,36920,5,0.000318187603410971
"henry","ohio",28045,48932,0,0
"highland","ohio",42998,40423,1,2.3256895669566e-05
"hocking","ohio",29273,42227,1,3.41611724114372e-05
"holmes","ohio",43025,44746,1,2.32423009877978e-05
"huron","ohio",59280,48358,0,0
"jackson","ohio",32954,37243,4,0.000121381319414942
